TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,* Three workouts per week.  Click here for more Info.,4,1,jeffrey.wyman (2802436),,,en,America/New_York
note,"Start Your 5K Training In Just A Few Minutes Each Week

Each session should take about 20 or 30 minutes, three times a week. That just happens to be the same amount of moderate exercise recommended by numerous studies for optimum fitness. This program will get you fit. (Runners who do more than this amount are doing it for more than fitness, and before long you might find yourself doing the same as well).

Be sure to space out these three days throughout the week to give yourself a chance to rest and recover between efforts. And don't worry about how fast you're going. Running faster can wait until your bones are stronger and your body is fitter. For now focus on gradually increasing the time or distance you run.

Run for time or run for distance

There are two ways to follow this Couch to 5K ® training program, to measure your runs by time or by distance. Either one works just as well, choose the option that seems easiest for you to keep track of. If you go with the distance option, and you are not using a track to measure the distances, just estimate. It's not important to have the distances absolutely exact.

http://www.coolrunning.com [[file {""tn_l"":[""https:\/\/resizeist.doist.com?url=http%3A%2F%2Fwww.coolrunning.com%2Ftemplatepix%2FCoolRunning_RunningManLogo.jpg&maxheight=528"",528,528],""description"":""Cool Running is the complete online resource for runners, offering the Web's most comprehensive race calendar, race results listings, training advice, interactive tools and a vibrant online community of runners."",""title"":""Running Events, Tips & Race Results | Cool Running"",""url"":""http:\/\/www.coolrunning.com"",""image"":""http:\/\/www.coolrunning.com\/templatepix\/CoolRunning_RunningManLogo.jpg"",""tn_s"":[""https:\/\/resizeist.doist.com?url=http%3A%2F%2Fwww.coolrunning.com%2Ftemplatepix%2FCoolRunning_RunningManLogo.jpg&maxheight=96"",96,96],""image_width"":120,""tn_m"":[""https:\/\/resizeist.doist.com?url=http%3A%2F%2Fwww.coolrunning.com%2Ftemplatepix%2FCoolRunning_RunningManLogo.jpg&maxheight=288"",288,288],""image_height"":120,""resource_type"":""website""}]]",,,jeffrey.wyman (2802436),,,,
,,,,,,,,
task,Workout - Week One,4,1,jeffrey.wyman (2802436),,every other day until next week,en,America/New_York
note,Brisk five-minute warmup walk. Then alternate 60 seconds of jogging and 90 seconds of walking for a total of 20 minutes.,,,jeffrey.wyman (2802436),,,,
,,,,,,,,
task,Workout - Week Two,4,1,jeffrey.wyman (2802436),,every other day for one week starting next week,en,America/New_York
note,Brisk five-minute warmup walk. Then alternate 90 seconds of jogging and two minutes of walking for a total of 20 minutes.,,,jeffrey.wyman (2802436),,,,
,,,,,,,,
task,Workout - Week Three,4,1,jeffrey.wyman (2802436),,every other day for one week starting in two weeks,en,America/New_York
note,"Brisk five-minute warmup walk, then do two repetitions of the following:
Jog 200 yards (or 90 seconds)
Walk 200 yards (or 90 seconds)
Jog 400 yards (or 3 minutes)
Walk 400 yards (or three minutes)",,,jeffrey.wyman (2802436),,,,
,,,,,,,,
task,Workout - Week Four,4,1,jeffrey.wyman (2802436),,every other day for one week starting in three weeks,en,America/New_York
note,"Brisk five-minute warmup walk, then:
Jog 1/4 mile (or 3 minutes)
Walk 1/8 mile (or 90 seconds)
Jog 1/2 mile (or 5 minutes)
Walk 1/4 mile (or 2-1/2 minutes)
Jog 1/4 mile (or 3 minutes)
Walk 1/8 mile (or 90 seconds)
Jog 1/2 mile (or 5 minutes)",,,jeffrey.wyman (2802436),,,,
,,,,,,,,
task,Workout - Week Five,4,1,jeffrey.wyman (2802436),,every other day for one week starting in four weeks,en,America/New_York
note,"Brisk five-minute warmup walk, then:
Jog 1/2 mile (or 5 minutes)
Walk 1/4 mile (or 3 minutes)
Jog 1/2 mile (or 5 minutes)
Walk 1/4 mile (or 3 minutes)
Jog 1/2 mile (or 5 minutes)",,,jeffrey.wyman (2802436),,,,
,,,,,,,,
task,Workout - Week Six,4,1,jeffrey.wyman (2802436),,every other day for one week starting in five weeks,en,America/New_York
note,"Brisk five-minute warmup walk, then:
Jog 1/2 mile (or 5 minutes)
Walk 1/4 mile (or 3 minutes)
Jog 3/4 mile (or 8 minutes)
Walk 1/4 mile (or 3 minutes)
Jog 1/2 mile (or 5 minutes)",,,jeffrey.wyman (2802436),,,,
,,,,,,,,
task,Workout - Week Seven,4,1,jeffrey.wyman (2802436),,every other day for one week starting in six weeks,en,America/New_York
note,"Brisk five-minute warmup walk, then jog 2.5 miles (or 25 minutes).",,,jeffrey.wyman (2802436),,,,
,,,,,,,,
task,Workout - Week Eight,4,1,jeffrey.wyman (2802436),,every other day for one week starting in seven weeks,en,America/New_York
note,"Brisk five-minute warmup walk, then jog 2.75 miles (or 28 minutes).",,,jeffrey.wyman (2802436),,,,
,,,,,,,,
task,Workout - Week Nine (Final Week),4,1,jeffrey.wyman (2802436),,every other day for one week starting in eight weeks,en,America/New_York
note,"Brisk five-minute warmup walk, then jog 3 miles (or 30 minutes).",,,jeffrey.wyman (2802436),,,,
,,,,,,,,
